id,title,authority,local_government,source_type,canonical_url,status
29de0c0d-9e08-5cbd-842b-2a79b9c74c92,"Naval Base Shacks Find out about the Naval Base shacks and the Naval Base Holiday Park, including lease agreements, management plans and rules for building approvals.",City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Planning-Projects/Naval-Base-Shacks,active
c0fc0fe9-0b7f-592c-a909-a974293c0c2c,"Phoenix Revitalisation Strategy Find out about the Phoenix Central Revitalisation Strategy, its aims and the key issues involved, information about the timeframe and who to contact.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/Phoenix-Revitalisation-Strategy,active
298bc380-90f1-5feb-848d-eed9edfab3fc,Planning Advice,City of Cockburn,Cockburn,planning_guidance,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/General-Planning-Information,active
3adce932-ebd6-51bd-ba4f-07f407ec5273,Planning Projects Learn about the City's planning projects.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Planning-Projects,active
57371559-6a39-557e-9111-b5213f9f6cd7,"Planning Scheme Information on the Town Planning Scheme No. 3, its scope and amendments to current town planning schemes in the City.",City of Cockburn,Cockburn,local_planning_scheme,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Scheme/Planning-Scheme,active
c3af690f-0d18-56e1-8c62-0c88db65403b,Proposed Coogee Golf Complex View information about the Proposed Coogee Golf Complex.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Planning-Projects/Coogee-Golf-Complex,active
8ef33657-15b2-5cf4-a6cd-55afbf56a6f7,Redevelopment of Cockburn Gateway Shopping City Find out what role the City plays in the $1.08 billion development application for a proposed extensive four-stage redevelopment of Cockburn Gateway Shopping City.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Glen-Iris-%281%29,active
ad576c8e-253c-592e-9c88-7be5629adcad,"Revitalisation Strategies Find out about suburb revitalisation strategies for Coolbellup, The Lakes, Hamilton Hill and Phoenix.",City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies,active
a80536f1-99ee-5c01-9a5c-9cfcbec328f4,Roe 8 (West) and Roe 9 Find out about the State Government’s investigation in to future possible land use.,City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Roe-8-(West)-and-Roe-9,active
ae3ac3ae-56a2-583f-8168-41dedd0685d6,Short Term Rental Accommodation Find out where to register your short term rental accommodation and any approvals required.,City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Short-Term-Rental-Accommodation,active
07f0954c-4098-5da6-9cb6-9a88e95205dc,SLIP / data.wa.gov.au catalogue (PlanWA spatial layers),Government of Western Australia,,index_page,https://catalogue.data.wa.gov.au/,active
4b9ecbed-795e-5013-bb42-de87314c5a49,Structure Plan Framework and Process,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-and-Development/Town-planning-and-development/Structure-plans/Structure-plan-framework-and-process,active
c4d88338-4fdf-5c7a-b1ce-d418e89d662e,Structure Plans,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-and-Development/Town-planning-and-development/Structure-plans,active
a745f4f6-98a9-57c2-b853-ccd4252c9a0a,Structure Plans Find out about the structure plan framework and process. Access approved structure plans and structured plans currently under consideration.,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Structure-Plans,active
